Zeit	Stromstärke (A)	Wirkleistung (W)	Scheinleistung (W)
0	    0,936	126,284184	221,5512
60	    0,831	116,100672	196,7808
120	    0,831	117,81918	196,3653
180	    0,934	136,720788	220,5174
240	    0,941	137,68712	222,076
300	    0,947	140,561316	223,1132
360	    0,941	139,730031	221,7937
420	    0,831	117,61974	196,0329
480	    0,912	129,19392	215,3232
540	    0,831	117,86904	196,4484
600	    0,831	117,86904	196,4484
660	    0,831	118,01862	196,6977
720	    0,831	119,884215	196,5315
780	    0,831	119,732142	196,2822
840	    0,831	119,833524	196,4484
900	    0,831	119,63076	196,116
960	    0,831	119,63076	196,116
1020	0,831	119,63076	196,116
1080	0,831	119,833524	196,4484
1140	0,831	119,985597	196,6977
1200	0,831	119,985597	196,6977
1260	0,544	46,394496	128,8736
