Time	U_Bat_oszi	U_Fuse_oszi
0	    4.023	-0.023
0.01	4.023	-0.023
0.02	4.023	-0.037
0.03	4.039	-0.023
0.04	4.029	-0.017
0.05	4.023	-0.060
0.06	4.023	-0.023
0.07	4.063	0.041
0.08	4.058	-0.023
0.09	4.058	0.011
0.10	4.038	-0.008
0.11	4.037	0.030
0.12	4.026	-0.020
0.13	4.056	0.009
0.14	4.063	0.010
0.15	4.063	0.016
0.16	4.063	-0.018
0.17	4.030	-0.016
0.18	4.063	0.016
0.19	4.051	0.033
0.20	4.061	0.013
0.21	4.032	-0.015
0.22	4.042	-0.003
0.23	4.073	0.016
0.24	4.063	0.016
0.25	4.033	0.006
0.26	4.063	-0.004
0.27	4.063	0.016
0.28	4.023	-0.023
0.29	4.063	-0.012
0.30	4.041	-0.028
0.31	4.063	0.016
0.32	4.025	-0.021
0.33	4.050	0.003
0.34	4.039	-0.031
0.35	4.056	-0.010
0.36	4.026	-0.057
0.37	4.037	-0.010
0.38	4.038	-0.008
0.39	4.023	-0.059
0.40	4.028	-0.018
0.41	4.038	-0.008
0.42	4.037	-0.010
0.43	4.023	-0.023
0.44	4.023	-0.023
0.45	4.039	-0.007
0.46	4.023	-0.010
0.47	4.023	-0.026
0.48	4.063	-0.016
0.49	4.045	-0.020
0.50	4.051	0.004
0.51	4.023	-0.023
0.52	4.054	0.007
0.53	4.063	0.037
0.54	4.063	0.016
0.55	4.103	0.056
0.56	3.993	-0.064
0.57	4.023	-0.064
0.58	4.032	0.016
0.59	4.021	-0.026
0.60	4.063	0.016
0.61	4.063	0.016
0.62	4.023	-0.049
0.63	4.023	-0.018
0.64	4.063	-0.011
0.65	4.046	0.016
0.66	4.023	-0.017
0.67	3.990	-0.053
0.68	4.049	0.016
0.69	4.038	-0.008
0.70	4.023	-0.018
0.71	4.063	0.011
0.72	4.023	-0.064
0.73	4.048	0.042
0.74	4.023	-0.060
0.75	4.029	-0.023
0.76	4.039	-0.007
0.77	4.036	-0.011
0.78	4.063	0.016
0.79	4.030	-0.023
0.80	4.045	-0.002
0.81	4.034	-0.012
0.82	4.024	-0.022
0.83	4.023	-0.033
0.84	4.043	-0.003
0.85	4.023	-0.023
0.86	4.023	-0.064
0.87	4.052	0.006
0.88	4.042	-0.004
0.89	4.023	-0.033
0.90	4.063	-0.062
0.91	4.034	-0.030
0.92	4.023	-0.023
0.93	4.063	-0.016
0.94	4.060	0.013
0.95	4.050	0.003
0.96	4.023	-0.023
0.97	4.029	-0.017
0.98	4.063	0.053
0.99	4.063	0.002
1.00	4.038	-0.023
1.01	4.028	-0.054
1.02	4.053	0.011
1.03	4.063	0.016
1.04	4.048	-0.023
1.05	4.063	0.012
1.06	4.056	-0.023
1.07	4.039	-0.001
1.08	4.023	-0.023
1.09	4.023	-0.023
1.10	4.023	-0.023
1.11	4.023	-0.064
1.12	4.063	0.016
1.13	4.063	0.017
1.14	4.031	-0.015
1.15	4.042	0.016
1.16	4.052	-0.023
1.17	4.063	0.016
1.18	4.063	0.016
1.19	4.042	0.016
1.20	4.023	0.007
1.21	4.024	-0.023
1.22	4.051	0.004
1.23	4.041	-0.006
1.24	4.030	-0.016
1.25	4.060	0.011
1.26	4.023	-0.023
1.27	4.023	-0.007
1.28	4.023	-0.023
1.29	4.023	-0.020
1.30	4.037	-0.010
1.31	3.998	-0.072
1.32	4.028	-0.018
1.33	4.063	0.016
1.34	4.038	-0.008
1.35	4.074	0.028
1.36	4.059	0.008
1.37	4.029	-0.017
1.38	4.023	-0.047
1.39	4.050	-0.023
1.40	4.025	-0.059
1.41	4.063	-0.016
1.42	4.041	-0.023
1.43	4.034	0.000
1.44	4.023	-0.022
1.45	4.063	0.016
1.46	4.042	-0.005
1.47	4.023	-0.013
1.48	4.063	-0.023
1.49	4.053	-0.023
1.50	4.023	-0.043
1.51	4.032	-0.014
1.52	4.023	-0.025
1.53	4.034	-0.042
1.54	4.063	0.016
1.55	4.023	-0.023
1.56	4.063	0.016
1.57	4.035	-0.011
1.58	4.046	-0.001
1.59	4.023	-0.058
1.60	4.023	-0.023
1.61	4.023	-0.050
1.62	4.047	0.000
1.63	4.063	0.010
1.64	4.063	0.016
1.65	4.038	-0.009
1.66	4.023	0.002
1.67	4.023	-0.023
1.68	4.035	-0.011
1.69	4.039	-0.031
1.70	4.023	-0.011
1.71	4.063	0.054
1.72	4.055	0.008
1.73	4.063	0.016
1.74	4.051	0.033
1.75	4.063	0.055
1.76	4.023	-0.023
1.77	4.023	-0.043
1.78	4.092	0.036
1.79	4.063	0.015
1.80	4.063	0.006
1.81	4.023	-0.044
1.82	4.023	-0.023
1.83	4.024	-0.063
1.84	4.023	-0.023
1.85	4.023	-0.023
1.86	4.063	0.024
1.87	4.063	0.016
1.88	4.078	0.018
1.89	4.063	0.023
1.90	4.056	0.043
1.91	4.059	0.016
1.92	4.049	0.002
1.93	4.047	0.000
1.94	4.057	0.016
1.95	4.063	-0.023
1.96	4.063	0.041
1.97	4.023	-0.038
1.98	4.023	-0.019
1.99	4.063	0.016
2.00	3.708	1.145
2.01	3.996	-0.051
2.02	3.985	-0.023
2.03	3.661	0.861
2.04	3.643	0.843
2.05	3.689	0.849
2.06	3.582	0.863
2.07	3.621	0.900
2.08	3.600	0.880
2.09	3.580	0.900
2.10	3.580	0.861
2.11	3.580	0.900
2.12	3.600	0.861
2.13	3.571	0.843
2.14	3.621	0.821
2.15	3.632	0.752
2.16	3.580	0.781
2.17	3.572	0.861
2.18	3.540	0.861
2.19	3.568	0.916
2.20	3.557	0.838
2.21	3.540	0.854
2.22	3.540	0.858
2.23	3.540	0.847
2.24	3.540	0.861
2.25	3.580	0.856
2.26	3.540	0.825
2.27	3.540	0.861
2.28	3.555	0.875
2.29	3.572	0.892
2.30	3.540	0.861
2.31	3.540	0.861
2.32	3.540	0.887
2.33	3.537	0.823
2.34	3.533	0.854
2.35	3.518	0.839
2.36	3.528	0.849
2.37	3.502	0.824
2.38	3.540	0.870
2.39	3.519	0.820
2.40	3.540	0.820
2.41	3.500	0.821
2.42	3.510	0.801
2.43	3.580	0.840
2.44	3.550	0.870
2.45	3.540	0.862
2.46	3.540	0.872
2.47	3.540	0.842
2.48	3.508	0.861
2.49	3.502	0.864
2.50	3.500	0.794
2.51	3.523	0.884
2.52	3.580	0.686
2.53	3.537	0.813
2.54	3.514	0.809
2.55	3.516	0.852
2.56	3.540	0.930
2.57	3.540	0.866
2.58	3.500	0.861
2.59	3.515	0.876
2.60	3.500	0.825
2.61	3.500	0.894
2.62	3.500	0.861
2.63	3.527	0.887
2.64	3.463	0.826
2.65	3.500	0.854
2.66	3.500	0.861
2.67	3.512	0.844
2.68	3.500	0.861
2.69	3.491	0.861
2.70	3.500	0.840
2.71	3.500	0.861
2.72	3.460	0.821
2.73	3.500	0.880
2.74	3.500	0.881
2.75	3.531	0.913
2.76	3.500	0.861
2.77	3.489	0.878
2.78	3.522	0.882
2.79	3.508	0.909
2.80	3.500	0.820
2.81	3.472	0.833
2.82	3.500	0.844
2.83	3.533	0.928
2.84	3.496	0.854
2.85	3.486	0.873
2.86	3.524	0.877
2.87	3.465	0.856
2.88	3.500	0.825
2.89	3.500	0.876
2.90	3.500	0.861
2.91	3.464	0.794
2.92	3.466	0.894
2.93	3.476	0.853
2.94	3.500	0.874
2.95	3.463	0.858
2.96	3.500	0.869
2.97	3.460	0.803
2.98	3.460	0.820
2.99	3.537	0.899
3.00	3.468	0.870
3.01	3.481	0.882
3.02	3.500	0.861
3.03	3.500	0.900
3.04	3.490	0.861
3.05	3.460	0.841
3.06	3.500	0.900
3.07	3.460	0.860
3.08	3.489	0.889
3.09	3.500	0.839
3.10	3.460	0.853
3.11	3.500	0.863
3.12	3.472	0.900
3.13	3.460	0.820
3.14	3.467	0.861
3.15	3.496	0.890
3.16	3.487	0.875
3.17	3.460	0.845
3.18	3.494	0.889
3.19	3.495	0.856
3.20	3.500	0.861
3.21	3.474	0.846
3.22	3.500	0.866
3.23	3.466	0.826
3.24	3.484	0.861
3.25	3.473	0.834
3.26	3.463	0.864
3.27	3.460	0.861
3.28	3.477	0.879
3.29	3.472	0.861
3.30	3.460	0.822
3.31	3.491	0.861
3.32	3.460	0.820
3.33	3.489	0.890
3.34	3.460	0.821
3.35	3.480	0.881
3.36	3.480	0.861
3.37	3.490	0.881
3.38	3.460	0.861
3.39	3.460	0.832
3.40	3.500	0.900
3.41	3.428	0.798
3.42	3.460	0.820
3.43	3.460	0.833
3.44	3.477	0.855
3.45	3.460	0.861
3.46	3.463	0.865
3.47	3.460	0.861
3.48	3.460	0.868
3.49	3.460	0.861
3.50	3.460	0.857
3.51	3.460	0.886
3.52	3.485	0.912
3.53	3.496	0.896
3.54	3.460	0.826
3.55	3.460	0.861
3.56	3.460	0.861
3.57	3.497	0.897
3.58	3.460	0.828
3.59	3.442	0.843
3.60	3.476	0.864
3.61	3.460	0.861
3.62	3.460	0.861
