Time	T_peel (rel.)	T_average (rel)	Time	T_peel (rel.)	T_average (rel)
0,00	0,06	0,09	0,00	0,02	0,05
1,08	0,06	0,10	1,35	0,16	0,16
2,16	0,09	0,14	2,43	0,11	0,15
3,24	0,12	0,20	3,51	0,12	0,11
4,32	0,11	0,12	4,60	0,00	0,00
5,41	0,00	0,05	5,68	0,01	0,02
6,76	0,12	0,00	6,76	0,15	0,11
7,84	0,89	0,09	8,11	0,05	0,03
9,19	1,60	0,28	9,19	0,22	0,16
10,27	2,10	0,31	10,54	0,26	0,19
11,35	2,51	0,39	11,62	0,22	0,15
12,43	2,99	0,52	12,97	0,38	0,27
13,78	3,44	0,57	14,32	0,63	0,51
14,87	3,86	0,68	15,41	0,69	0,52
15,95	4,13	0,78	16,49	0,81	0,62
17,03	4,42	0,80	17,57	0,97	0,70
18,11	4,73	0,94	18,92	0,91	0,69
19,19	4,92	0,93	20,00	1,03	0,75
20,27	5,11	0,96	21,08	1,07	0,77
21,62	5,38	1,03	22,16	1,17	0,80
22,70	5,64	1,13	23,24	1,26	0,88
23,78	5,91	1,27	24,32	1,23	0,81
24,87	5,98	1,25	25,41	1,46	0,92
25,95	6,19	1,35	26,49	1,57	0,98
27,30	6,33	1,38	27,57	1,78	1,07
28,38	6,44	1,38	28,65	1,86	1,09
29,46	6,59	1,46	30,00	2,08	1,23
30,54	6,72	1,47	31,35	2,30	1,35
31,62	6,85	1,50	32,43	2,38	1,40
32,70	6,99	1,55	33,51	2,52	1,46
33,78	7,09	1,64	34,87	2,54	1,41
35,14	7,29	1,69	35,95	2,77	1,54
36,22	7,37	1,72	37,03	2,83	1,57
37,30	7,50	1,79	38,11	2,96	1,63
38,38	7,57	1,82	39,19	3,00	1,64
39,46	7,76	1,95	40,27	3,07	1,66
40,54	7,80	1,96	41,62	3,24	1,75
41,62	7,93	1,99	42,70	3,29	1,78
42,70	7,96	2,02	43,78	3,41	1,88
44,05	8,03	2,03	44,87	3,48	1,91
45,14	8,05	2,04	45,95	3,63	1,95
46,22	8,09	2,04	47,30	3,73	2,04
47,30	8,20	2,12	48,65	3,87	2,10
48,38	8,24	2,15	49,73	3,97	2,16
49,46	8,38	2,25	50,81	4,00	2,19
50,54	8,50	2,32	52,16	4,09	2,24
51,62	8,51	2,32	53,51	4,27	2,35
52,70	8,65	2,40	54,87	4,31	2,32
54,05	8,74	2,43	55,95	4,38	2,38
55,41	8,77	2,47	57,03	4,43	2,39
56,49	8,86	2,51	58,11	4,52	2,42
57,57	9,02	2,61	59,19	4,58	2,51
58,65	9,00	2,58	60,27	4,78	2,68
60,00	9,00	2,56	61,35	4,74	2,66
