Time	T_peek (rel.)	Time	T_peek (rel.)
0,00	0,02	0,00	0,11
1,35	0,16	1,08	0,10
2,43	0,11	2,43	0,11
3,51	0,12	3,51	0,00
4,60	0,00	4,60	0,06
5,68	0,01	5,95	0,07
6,76	0,15	7,03	0,06
8,11	0,05	8,11	0,06
9,19	0,22	9,19	0,07
10,54	0,26	10,27	0,11
11,62	0,22	11,35	0,18
12,97	0,38	12,43	0,22
14,32	0,63	13,51	0,23
15,41	0,69	14,60	0,26
16,49	0,81	15,68	0,35
17,57	0,97	16,76	0,47
18,92	0,91	17,84	0,60
20,00	1,03	18,92	0,62
21,08	1,07	20,00	0,79
22,16	1,17	21,08	0,90
23,24	1,26	22,16	1,02
24,32	1,23	24,05	1,16
25,41	1,46	25,41	1,39
26,49	1,57	26,49	1,46
27,57	1,78	27,57	1,58
28,65	1,86	28,65	1,67
30,00	2,08	29,73	1,75
31,35	2,30	30,81	1,91
32,43	2,38	31,89	1,91
33,51	2,52	32,97	2,16
34,87	2,54	34,05	2,27
35,95	2,77	35,14	2,32
37,03	2,83	36,22	2,48
38,11	2,96	37,30	2,64
39,19	3,00	38,65	2,71
40,27	3,07	39,73	2,84
41,62	3,24	40,81	3,01
42,70	3,29	42,16	3,05
43,78	3,41	43,24	3,09
44,87	3,48	44,33	3,02
45,95	3,63	45,68	3,16
47,30	3,73	46,76	3,23
48,65	3,87	47,84	3,33
49,73	3,97	48,92	3,49
50,81	4,00	50,00	3,57
52,16	4,09	51,08	3,64
53,51	4,27	52,16	3,70
54,87	4,31	53,24	3,80
55,95	4,38	54,33	3,92
57,03	4,43	55,41	4,01
58,11	4,52	56,49	4,03
59,19	4,58	57,57	4,06
60,27	4,78	58,65	4,23
61,35	4,74	59,73	4,19
62,43	4,87	60,81	4,20
63,51	4,95	62,16	4,26
64,87	4,93	63,24	4,35
66,22	4,91	64,33	4,49
67,30	5,01	65,41	4,56
68,38	5,00	66,49	4,54
69,46	4,97	67,57	4,63
70,54	5,19	68,65	4,66
71,62	5,25	69,73	4,68
72,70	5,30	70,81	4,70
74,05	5,39	72,16	4,76
75,14	5,26	73,24	4,77
76,22	5,36	74,33	4,84
77,30	5,49	75,41	4,87
78,65	5,54	76,49	4,97
79,73	5,50	77,57	4,96
80,81	5,53	78,65	5,05
81,89	5,56	79,73	5,03
82,97	5,70	80,81	5,09
84,05	5,69	82,16	5,15
85,14	5,60	83,24	5,16
86,22	5,74	84,33	5,14
87,30	5,77	85,41	5,11
88,65	5,77	86,49	5,12
90,00	5,89	87,57	5,21
91,08	6,03	88,65	5,25
92,16	6,05	89,73	5,33
93,24	6,05	90,81	5,37
94,32	6,08	91,89	5,33
95,41	6,13	92,97	5,41
96,49	6,10	94,05	5,44
97,57	6,18	95,14	5,40
98,65	6,32	96,22	5,44
99,73	6,28	97,30	5,48
100,81	6,37	98,38	5,50
101,89	6,32	99,46	5,44
102,97	6,41	100,54	5,44
104,05	6,46	101,62	5,51
105,14	6,44	102,70	5,59
106,22	6,49	103,78	5,60
107,57	6,51	104,87	5,64
108,65	6,60	105,95	5,69
110,00	6,65	107,03	5,65
111,35	6,62	108,11	5,76
112,43	6,74	109,19	5,66
113,51	6,69	110,27	5,68
114,60	6,75	111,35	5,66
115,95	6,76	112,43	5,73
117,03	6,76	113,51	5,73
118,11	6,77	114,60	5,72
119,19	6,87	115,95	5,87
120,27	6,94	117,03	6,00
121,35	6,89	118,11	5,94
122,43	6,95	119,19	5,93
123,51	7,04	120,27	5,89
124,60	6,95	121,35	5,90
125,95	7,01	122,43	5,90
127,03	7,05	123,51	6,04
128,11	7,05	124,60	6,04
129,19	7,08	125,95	6,06
130,27	7,15	127,03	6,15
131,35	7,07	128,11	6,10
132,70	7,11	129,19	6,19
133,78	7,14	130,27	6,18
134,87	7,32	131,35	6,21
135,95	7,33	132,43	6,25
137,30	7,29	133,51	6,23
138,38	7,25	134,87	6,18
139,46	7,33	135,95	6,10
140,81	7,40	137,03	6,06
141,89	7,37	138,11	6,18
142,97	7,44	139,19	6,18
144,05	7,45	140,27	6,12
145,14	7,48	141,35	6,13
146,22	7,53	142,43	6,18
147,30	7,49	143,51	6,21
148,38	7,47	144,87	6,30
149,46	7,51	145,95	6,32
150,54	7,58	147,03	6,31
151,62	7,66	148,11	6,43
152,70	7,67	149,19	6,40
153,78	7,65	150,27	6,32
154,87	7,71	151,35	6,35
155,95	7,71	152,43	6,39
157,03	7,66	153,51	6,35
158,11	7,66	154,60	6,38
159,19	7,67	155,68	6,38
160,27	7,65	156,76	6,46
161,35	7,59	157,84	6,31
162,70	7,62	158,92	6,27
163,78	7,63	160,00	6,37
164,87	7,63	161,08	6,37
165,95	7,76	162,16	6,35
167,03	7,73	163,51	6,37
168,11	7,74	164,60	6,42
169,46	7,83	165,68	6,35
170,54	7,73	166,76	6,38
171,62	7,68	167,84	6,45
172,70	7,68	168,92	6,52
173,78	7,69	170,00	6,62
174,87	7,70	171,08	6,61
175,95	7,67	172,16	6,65
177,03	7,71	173,51	6,65
178,11	7,73	174,60	6,69
179,19	7,77	175,68	6,65
180,54	7,80	176,76	6,68
181,62	7,84	177,84	6,65
182,70	7,81	178,92	6,62
183,78	7,78	180,00	6,65
184,87	7,90	181,08	6,65
185,95	7,91	182,16	6,75
187,03	7,90	183,24	6,85
188,11	7,82	184,33	6,70
189,19	7,90	185,41	6,76
190,54	7,90	186,49	6,70
191,62	7,90	187,57	6,63
192,70	7,82	188,65	6,60
193,78	7,87	190,00	6,64
194,87	7,93	191,08	6,62
196,22	7,93	192,16	6,68
197,30	7,96	193,24	6,70
198,38	8,02	194,33	6,78
199,73	8,10	195,68	6,81
200,81	8,14	196,76	6,87
202,16	8,18	197,84	6,88
203,24	8,04	199,19	6,80
204,32	8,08	200,27	6,85
205,41	8,08	201,35	6,77
206,49	8,04	202,43	6,88
207,57	8,05	203,51	6,88
208,65	8,13	204,60	6,92
210,00	8,13	205,68	7,07
211,35	8,18	206,76	7,07
212,43	8,19	207,84	6,91
213,51	8,13	208,92	6,95
214,60	8,15	210,00	6,94
215,68	8,15	211,08	6,94
216,76	8,05	212,16	6,92
217,84	8,02	213,24	6,94
219,19	8,07	214,60	7,01
220,27	8,17	215,68	7,02
221,35	8,23	216,76	6,91
222,43	8,21	217,84	6,99
223,51	8,17	218,92	7,06
224,87	8,26	220,00	7,12
225,95	8,30	221,08	7,19
227,03	8,41	222,16	7,16
228,38	8,26	223,24	7,18
229,46	8,21	224,33	7,30
230,81	8,26	225,41	7,26
231,89	8,27	226,49	7,30
232,97	8,17	227,57	7,34
234,05	8,15	228,65	7,35
235,14	8,18	229,73	7,37
236,22	8,29	231,08	7,43
237,30	8,29	232,16	7,38
238,38	8,25	233,51	7,31
239,46	8,33	234,60	7,41
240,54	8,42	235,68	7,42
241,62	8,40	236,76	7,46
242,70	8,40	238,11	7,47
243,78	8,42	239,19	7,50
244,87	8,35	240,27	7,59
245,95	8,37	241,35	7,62
247,03	8,34	242,43	7,64
248,11	8,30	243,51	7,50
249,46	8,43	244,87	7,50
250,54	8,37	245,95	7,41
251,62	8,40	247,03	7,50
252,70	8,27	248,11	7,42
253,78	8,35	249,19	7,41
254,87	8,33	250,27	7,42
255,95	8,41	251,35	7,43
