Time	Current	U_Battery	U_2
1	0	4.031	4.02
6	0	3.443	2.567
11	0	3.432	2.308
17	0.28692	3.866	0.459
22	0.24407	3.902	0.381
26	0.20278	3.928	0.345
31	0.19172	3.914	0.318
36	0.17577	3.948	0.289
41	0.1634	3.953	0.268
46	0.15662	3.958	0.253
51	0.14794	3.95	0.256
56	0.14284	3.96	0.226
61	0.13627	3.988	0.218
66	0.13231	3.979	0.216
71	0.12819	3.941	0.209
76	0.12504	4.008	0.192
81	0.12152	4.008	0.181
86	0.1181	3.984	0.18
91	0.11658	3.971	0.18
96	0.11392	3.984	0.17
100	0.11262	3.965	0.169
106	0.11078	3.971	0.169
111	0.10975	3.979	0.165
116	0.10817	3.995	0.155
121	0.10709	3.989	0.155
126	0.10633	3.981	0.164
131	0.10524	3.995	0.155
136	0.10432	3.965	0.159
141	0.10372	3.976	0.159
147	0.10302	4.014	0.15
152	0.10253	3.989	0.155
157	0.10183	4.019	0.161
162	0.10134	3.981	0.144
167	0.10085	4	0.155
172	0.10047	3.981	0.159
177	0.09998	3.976	0.154
182	0.09971	3.995	0.144
188	0.09933	3.981	0.144
193	0.09906	3.995	0.144
198	0.09884	4	0.139
203	0.0983	3.995	0.155
208	0.09797	4	0.149
213	0.09743	3.976	0.149
218	0.097	3.995	0.144
223	0.09689	3.981	0.144
228	0.09266	3.995	0.149
233	0.09054	4	0.144
238	0.08924	4.008	0.14
243	0.08821	4	0.149
456	0.08756	4.014	0.137
668	0.0868	3.996	0.132
881	0.08631	3.976	0.129
1094	0.08593	3.976	0.128
1306	0.08544	3.995	0.128
1519	0.08517	3.993	0.126
1731	0.08479	3.994	0.127
1944	0.08463	3.993	0.125
2156	0.0843	4.01	0.125
2369	0.08403	3.974	0.123
2582	0.08381	3.973	0.124
2794	0.08365	3.992	0.124
3007	0.08344	4.008	0.122
3219	0.08327	3.991	0.124
3432	0.08311	3.989	0.121
3645	0.08295	3.991	0.122
3857	0.08278	3.989	0.121
4070	0.08268	4.009	0.122
4281	0.08251	4.006	0.121
4494	0.08246	4.007	0.121
4707	0.0823	3.968	0.119
4919	0.08219	3.985	0.118
5132	0.08202	3.948	0.118
5344	0.08192	3.987	0.119
5557	0.08192	3.985	0.119
5769	0.08181	3.967	0.12
5982	0.08164	3.986	0.119
6195	0.08159	4.003	0.119
6407	0.08143	4.004	0.117
6620	0.08148	4.003	0.118
6832	0.08137	4.002	0.119
7045	0.08132	3.966	0.117
7258	0.08121	3.981	0.117
7470	0.08116	3.964	0.116
7683	0.08105	4.002	0.117
7895	0.08105	3.963	0.116
8108	0.08099	3.963	0.118
8321	0.08089	4.001	0.118
8533	0.08089	4	0.117
8746	0.08089	4	0.118
8958	0.08072	3.982	0.118
9171	0.08072	3.982	0.116
9383	0.08072	3.944	0.116
9596	0.08061	3.999	0.117
9809	0.08061	3.998	0.116
10021	0.08045	3.98	0.116
10234	0.08051	3.979	0.115
10447	0.08045	3.979	0.116
10659	0.08045	3.997	0.116
10872	0.08045	3.998	0.117
11085	0.0804	3.96	0.116
11297	0.08034	3.94	0.116
11510	0.08034	3.978	0.117
