Time	CHANNEL0	CHANNEL1	CHANNEL2	CHANNEL3	CHANNEL4	CHANNEL5	CHANNEL6	CHANNEL7
0	 295,0463	 294,1579	 294,7946	 295,2173	 293,9645	 294,0774	 294,9020	 295,6465
50	 295,0463	 294,1579	 294,7946	 295,2173	 293,9645	 294,0774	 294,9020	 295,6465
100	 295,0463	 294,1579	 294,7946	 295,2173	 293,9645	 294,0774	 294,9020	 295,6465
150	 295,0463	 294,1579	 294,7946	 295,2173	 293,9645	 294,0774	 294,9020	 295,6465
200	 295,0407	 294,1579	 294,7946	 295,2173	 293,9645	 294,0774	 294,9020	 295,6465
250	 295,0407	 294,1579	 294,7946	 295,2173	 293,9645	 294,0774	 294,9020	 295,6465
300	 295,0407	 294,1579	 294,7946	 295,2303	 293,9645	 294,0774	 294,9020	 295,6280
350	 295,0407	 294,1579	 294,7946	 295,2303	 293,9645	 294,0774	 294,9020	 295,6280
400	 295,0407	 294,1579	 294,7946	 295,2303	 293,9645	 294,0774	 294,9020	 295,6280
450	 295,0407	 294,1579	 294,7946	 295,2303	 293,9645	 294,0774	 294,9020	 295,6280
500	 295,0407	 294,1579	 294,7946	 295,2303	 293,9645	 294,0774	 294,9020	 295,6280
550	 295,0407	 294,1663	 294,7946	 295,2303	 293,9645	 294,0774	 294,9020	 295,6280
600	 295,0250	 294,1505	 294,7789	 295,2146	 293,9645	 294,0756	 294,9020	 295,6280
650	 295,0250	 294,1505	 294,7789	 295,2146	 293,9645	 294,0756	 294,9020	 295,6280
700	 295,0250	 294,1505	 294,7696	 295,2146	 293,9645	 294,0756	 294,9066	 295,6280
750	 295,0250	 294,1505	 294,7696	 295,2146	 293,9645	 294,0756	 294,9066	 295,6280
800	 295,0250	 294,1505	 294,7696	 295,2146	 293,9645	 294,0756	 294,9066	 295,6280
850	 295,0176	 294,1505	 294,7696	 295,2146	 293,9645	 294,0756	 294,9066	 295,6280
900	 295,0176	 294,1505	 294,7696	 295,2146	 293,9682	 294,0756	 294,9066	 295,6280
950	 295,0176	 294,1505	 294,7696	 295,2146	 293,9682	 294,0756	 294,9066	 295,6280
1000	 295,0176	 294,1505	 294,7696	 295,2136	 293,9682	 294,0756	 294,9066	 295,6289
1050	 295,0176	 294,1505	 294,7696	 295,2136	 293,9682	 294,0756	 294,9066	 295,6289
1100	 295,0176	 294,1505	 294,7696	 295,2136	 293,9682	 294,0756	 294,9066	 295,6289
1150	 295,0176	 294,1394	 294,7696	 295,2136	 293,9682	 294,0756	 294,9066	 295,6289
1200	 295,0176	 294,1394	 294,7696	 295,2136	 293,9682	 294,0756	 294,9066	 295,6289
1250	 295,0176	 294,1394	 294,7696	 295,2136	 293,9682	 294,0756	 294,9066	 295,6289
1300	 295,0176	 294,1394	 294,7733	 295,2136	 293,9682	 294,0756	 294,9159	 295,6289
1350	 295,0176	 294,1394	 294,7733	 295,2136	 293,9682	 294,0756	 294,9159	 295,6289
1400	 295,0176	 294,1394	 294,7733	 295,2136	 293,9682	 294,0756	 294,9159	 295,6289
1450	 295,0176	 294,1394	 294,7733	 295,2136	 293,9682	 294,0756	 294,9159	 295,6289
1500	 295,0176	 294,1394	 294,7733	 295,2136	 293,9682	 294,0756	 294,9159	 295,6289
1550	 295,0213	 294,1394	 294,7733	 295,2136	 293,9682	 294,0756	 294,9159	 295,6447
1600	 295,0213	 294,1394	 294,7733	 295,2146	 293,9839	 294,0913	 294,9316	 295,6502
1650	 295,0213	 294,1394	 294,7733	 295,2146	 293,9839	 294,0913	 294,9316	 295,6502
1700	 295,0213	 294,1394	 294,7733	 295,2146	 293,9839	 294,0913	 294,9316	 295,6502
1750	 295,0213	 294,1394	 294,7733	 295,2146	 293,9839	 294,0913	 294,9316	 295,6502
1800	 295,0213	 294,1394	 294,7733	 295,2146	 293,9839	 294,0913	 294,9316	 295,6502
1850	 295,0213	 294,1422	 294,7733	 295,2146	 293,9839	 294,0913	 294,9316	 295,6502
1900	 295,0213	 294,1422	 294,7733	 295,2146	 293,9839	 294,0987	 294,9178	 295,6502
1950	 295,0213	 294,1422	 294,7733	 295,2146	 293,9839	 294,0987	 294,9178	 295,6502
2000	 295,0213	 294,1422	 294,7733	 295,2146	 293,9839	 294,0987	 294,9178	 295,6502
2050	 295,0213	 294,1422	 294,7733	 295,2146	 293,9839	 294,0987	 294,9178	 295,6502
